Autor;T°tulo;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usu†rio Impressora 3D;Metodologia Utilizada;Etapa, disciplina e curr°culo;Cultura Maker e Ensino STEAM;Observaá‰es;Criaá∆o do design;INSTITUIÄ«O
"Onisaki, Hadassa Harumi Castelo; de Bastos Vieira, Rui Manoel; ";Impress∆o 3D e o desenvolvimento de produtos educacionais;Educitec-Revista de Estudos e Pesquisas sobre Ensino Tecnol¢gico;5;10;;2019;artigo;B1 ;;;;;;;
"Basniak, Maria Ivete; Liziero, AndrÇ Rafael; ";A impressora 3D e novas perspectivas para o ensino: possibilidades permeadas pelo uso de materiais concretos;Revista Observat¢rio;3;4;445-466;2017;artigo;A2;;;;;;;
"Aguiar, Leonardo De Conti Dias; ";Um processo para utilizar a tecnologia de impress∆o 3D na construá∆o de instrumentos did†ticos para o ensino de ciàncias;;;;;2016;dissertaá∆o ;;;;;;;;Universidade Estadual Paulista (Unesp)
"Santos, Jarles Tarsso Gomes; de Andrade, Adja Ferreira; ";Impress∆o 3D como recurso para o desenvolvimento de material did†tico: associando a cultura Maker Ö resoluá∆o de problemas;RENOTE;;1;;2020;artigo;A4 ;;;;;;;
"SAMPAIO, CPD; MARTINS, RFF; ";A modelagem 3d virtual e a impress∆o 3d como ferramentas de apoio ao aprendizado na educaá∆o infantil: viabilidade e possibilidades de aplicaá∆o;Universidade Estadual de Londrina, Londrina;;;;2013;artigo;;;;;;;;
"Pavan, Gustavo Felipe; Todero, Eduardo Luiz; Delfim, Ana Julia Barros; TomÇ, Guilherme Eduardo; Ten-caten, Robinson Joel; Franz, Samuel Henrique; Fuzinatto, Arthur; dos Santos Silva, “nio; Guedes, Gustavo Cunha; dos Santos Albuquerque, Almir; ";Impress∆o 3d: ferramenta de prototipagem r†pida para elaboraá∆o de metodologias e kits did†ticos relacionados Ö educaá∆o/3d printing: quick prototyping tool for elaborating methodologies and teaching kits related to education;Brazilian Journal of Development;6;3;13013-13021;2020;artigo;C;;;;;;;
"Vieira, Edite Resende; COSTA, Nielce Meneguelo Lobo; ";Ensino de geometria com tecnologia digital: experiàncias poss°veis em um processo formativo;ENEM-ENCONTRO NACIONAL DE EDUCAÄ«O MATEMµTICA;12;;1-12;2016;artigo;;;;;;;;
"de Oliveira, C°ntia Rochele Alves; Ferreira, Cristiano Corràa; de Lima Martins, Claudete da Silva; ";Modelo did†tico para o ensino de Ciàncias, construá∆o por meio de impress∆o 3D: an†lise e avaliaá∆o no processo de ensino-aprendizagem;Revista Iberoamericana de Tecnolog°a en Educaci¢n y Educaci¢n en Tecnolog°a;;32;e5-e5;2022;artigo;A4 ;;;;;;;
"Chaves, Amanda Dalla?Cort; Dutra, Jo∆o Miguel Menezes; da Rocha, Cl†udio Felipe Kolling; ";Impress∆o 3D aplicada ao ensino de ciàncias b†sicas da sa£de: onde estamos e onde queremos chegar;Educaá∆o & Linguagem;21;2;43-58;;;;;;;;;;
"Ledo, Roger Maia Dias; da Silva, Carlos Petrìnio Leite; ";Limites e possibilidades da impress∆o 3d como ferramenta em abordagens steam no ensino de biologia: um estudo de caso;Revista Eixo;10;1;23-35;2021;artigo;A4 ;;;;;;;
"Ribeiro, Janete Amorim; ";Movimento maker e educaá∆o no ensino de Ciàncias: desenvolvimento de um curso para professores na criaá∆o de materiais did†ticos open source com o uso de impress∆o 3D;;;;;2023;;;;;;;;;Universidade Federal de Minas Gerais
"Evangelista, F†bio Lombardo; ";DE DE ALUNO PARA ALUNO: O ENSINO DE F÷SICA, ARDU÷NO E IMPRESS«O 3D;Experiàncias em Ensino de Ciàncias;18;1;319-334;2023;;B1 ;;;;;;;
"Pulter, Brenda Luiza; Zarpelon, Patrick Antìnio Bresciani; Mega, Daniel Farias; Evangelista, Fabio Lombardo; ";IMPRESS«O 3D PARA O ENSINO DE CIENCIAS: O QUE DIZEM AS PESQUISAS?;Anais da Mostra de Iniciaá∆o Cient°fica do Instituto Federal Catarinense Campus Conc¢rdia-ISSN 2317-8671;13;1;86-86;2023;;;;;;;;;
"Neto, Antonio Freitas; Loubet, Sara; Albuquerque, Leonardo Martinez; ";O Uso da impressora 3D no processo de ensino e aprendizagem.;Revista Eletrìnica Sala de Aula em Foco;10;2;14-14;2021;artigo;B2;;;;;;;
