Autor	T≠tulo	REVISTA	Volume	Number	Pages	ANO	Tipo	QUALIS DA REVISTA	Usuˇrio Impressora 3D	Metodologia Utilizada	Etapa, disciplina e curr≠culo	Cultura Maker e Ensino STEAM	Observa?Ñes	Cria?ío do design	INSTITUI?ÄO
"Onisaki, Hadassa Harumi Castelo; de Bastos Vieira, Rui Manoel; "	Impressío 3D e o desenvolvimento de produtos educacionais	Educitec-Revista de Estudos e Pesquisas sobre Ensino TecnolΩgico	5	10		2019	artigo	B1 							
"Basniak, Maria Ivete; Liziero, Andr? Rafael; "	A impressora 3D e novas perspectivas para o ensino: possibilidades permeadas pelo uso de materiais concretos	Revista ObservatΩrio	3	4	445-466	2017	artigo	A2							
"Aguiar, Leonardo De Conti Dias; "	Um processo para utilizar a tecnologia de impressío 3D na constru?ío de instrumentos didˇticos para o ensino de ci?ncias					2016	disserta?ío 								Universidade Estadual Paulista (Unesp)
"Santos, Jarles Tarsso Gomes; de Andrade, Adja Ferreira; "	Impressío 3D como recurso para o desenvolvimento de material didˇtico: associando a cultura Maker ? resolu?ío de problemas	RENOTE		1		2020	artigo	A4 							
"SAMPAIO, CPD; MARTINS, RFF; "	A modelagem 3d virtual e a impressío 3d como ferramentas de apoio ao aprendizado na educa?ío infantil: viabilidade e possibilidades de aplica?ío	Universidade Estadual de Londrina, Londrina				2013	artigo								
"Pavan, Gustavo Felipe; Todero, Eduardo Luiz; Delfim, Ana Julia Barros; Tom?, Guilherme Eduardo; Ten-caten, Robinson Joel; Franz, Samuel Henrique; Fuzinatto, Arthur; dos Santos Silva, „nio; Guedes, Gustavo Cunha; dos Santos Albuquerque, Almir; "	Impressío 3d: ferramenta de prototipagem rˇpida para elabora?ío de metodologias e kits didˇticos relacionados ? educa?ío/3d printing: quick prototyping tool for elaborating methodologies and teaching kits related to education	Brazilian Journal of Development	6	3	13013-13021	2020	artigo	C							
"Vieira, Edite Resende; COSTA, Nielce Meneguelo Lobo; "	Ensino de geometria com tecnologia digital: experi?ncias poss≠veis em um processo formativo	ENEM-ENCONTRO NACIONAL DE EDUCA?ÄO MATEMÊTICA	12		01/dez	2016	artigo								
"de Oliveira, C≠ntia Rochele Alves; Ferreira, Cristiano Corr?a; de Lima Martins, Claudete da Silva; "	Modelo didˇtico para o ensino de Ci?ncias, constru?ío por meio de impressío 3D: anˇlise e avalia?ío no processo de ensino-aprendizagem	Revista Iberoamericana de Tecnolog≠a en EducaciΩn y EducaciΩn en Tecnolog≠a		32	e5-e5	2022	artigo	A4 							
"Chaves, Amanda Dalla?Cort; Dutra, Joío Miguel Menezes; da Rocha, Clˇudio Felipe Kolling; "	Impressío 3D aplicada ao ensino de ci?ncias bˇsicas da saúde: onde estamos e onde queremos chegar	Educa?ío & Linguagem	21	2	43-58										
"Ledo, Roger Maia Dias; da Silva, Carlos Petr?nio Leite; "	Limites e possibilidades da impressío 3d como ferramenta em abordagens steam no ensino de biologia: um estudo de caso	Revista Eixo	10	1	23-35	2021	artigo	A4 							
"Ribeiro, Janete Amorim; "	Movimento maker e educa?ío no ensino de Ci?ncias: desenvolvimento de um curso para professores na cria?ío de materiais didˇticos open source com o uso de impressío 3D					2023									Universidade Federal de Minas Gerais
"Evangelista, Fˇbio Lombardo; "	DE DE ALUNO PARA ALUNO: O ENSINO DE FôSICA, ARDUôNO E IMPRESSÄO 3D	Experi?ncias em Ensino de Ci?ncias	18	1	319-334	2023		B1 							
"Pulter, Brenda Luiza; Zarpelon, Patrick Ant?nio Bresciani; Mega, Daniel Farias; Evangelista, Fabio Lombardo; "	IMPRESSÄO 3D PARA O ENSINO DE CIENCIAS: O QUE DIZEM AS PESQUISAS?	Anais da Mostra de Inicia?ío Cient≠fica do Instituto Federal Catarinense Campus ConcΩrdia-ISSN 2317-8671	13	1	86-86	2023									
"Neto, Antonio Freitas; Loubet, Sara; Albuquerque, Leonardo Martinez; "	O Uso da impressora 3D no processo de ensino e aprendizagem.	Revista Eletr?nica Sala de Aula em Foco	10	2	14-14	2021	artigo	B2							
"Caruso, Renata Cury; da Silva, Sani de Carvalho Rutz; Marcondes, Renato; "	USO DA IMPRESSÄO 3D NO ENSINO-APRENDIZAGEM: REVISÄO SISTEMÊTICA SOBRE OS PRINCIPAIS PROBLEMAS ENCONTRADOS	Boletim de Conjuntura (BOCA)	16	47	448-473	2023									
"Peretti, Gustavo Schwitzki; Hollmann, Filipe; Evangelista, Fabio Lombardo; "	ENSINO DE FôSICA, ARDUINO E IMPRESSÄO 3D PARA ESCOLAS PÇBLICAS	Anais da Mostra de Inicia?ío Cient≠fica do Instituto Federal Catarinense Campus ConcΩrdia-ISSN 2317-8671	13	1	85-85	2023									
"Rangel, Michele de Freitas Moura; Machado, Cassiana Barreto Hygino; "	Impressío 3D e ensino de Ωptica geom?trica: sele?ío de materiais para uma sequ?ncia didˇtica	Congresso Fluminense de PΩs-Gradua?ío-CONPG				2023									
"da Silva, Regiane Guimaríes; Santos, Alcides Loureiro; da Silva, Marcelo Loureiro; de Carvalho, Yuri Karaccas; "	MODELOS DE DENTES DE MAMôFEROS IMPRESSOS EM 3D E SUA APLICA?ÄO AO ENSINO DE CI„NCIAS BIOLÖGICAS	Ensino de Ci?ncias e Tecnologia em Revista?ENCITEC	13	1	78-97	2023									
"Gaspar, Gabriela; "	Constru?ío de modelos moleculares acess≠veis: uma proposta para o ensino de qu≠mica com impressora 3D					2023									Blumenau, SC.
"FERREIRA, HORT„NCIA DE JESUS; "	Explorando Novas DimensÑes no Ensino Anat?mico: Impressío 3D em Cursos T?cnicos de Radiologia					2023									
"Evangelista, Fˇbio Lombardo; Sordi, Beatriz Paludo; Pereira, Iago Anderson; Bomm, Adriano Arthur; "	De estudante para estudante: atividade experimental envolvendo ardu≠no, impressío 3d e f≠sica	CONTRAPONTO: DiscussÑes cient≠ficas e pedagΩgicas em Ci?ncias, Matemˇtica e Educa?ío	4	5	144-160	2023									
"Dos Santos, Kemilly Seibel; Evangelista, Fabio Lombardo; "	ENSINO CIENTôFICO E TECNOLÖGICO PARA ESCOLAS PÇBLICAS	Anais da Mostra de Inicia?ío Cient≠fica do Instituto Federal Catarinense Campus ConcΩrdia-ISSN 2317-8671	13	1	84-84	2023									
"SILVA, Pedro Henrique Moreno da; "	Impressío 3D como uma metodologia no ensino de quˇdricas: relato de experi?ncia.					2023									Universidade Federal de Campina Grande
"Funes, Gautama Mogli?; "	Explorando o potencial da impressío 3d na educa?ío: um protocolo guiado para produ?ío de bicamadas lip≠dicas					2023									FlorianΩpolis, SC.
"Rocha, Erlifas Moreira; Conrado, Gutemberg; "	Ci?ncia 3D impressa: Oficina de F≠sica					2023									
