Autor;Título;REVISTA;Volume;Number;Pages;ANO;Tipo;QUALIS DA REVISTA;Usuário Impressora 3D;Metodologia Utilizada;Etapa, disciplina e currículo;Cultura Maker e Ensino STEAM;Observações;Criação do design;INSTITUIÇÃO
"Onisaki, Hadassa Harumi Castelo; de Bastos Vieira, Rui Manoel; ";Impressão 3D e o desenvolvimento de produtos educacionais;Educitec-Revista de Estudos e Pesquisas sobre Ensino Tecnológico;5;10;;2019;artigo;B1 ;;;;;;;
"Basniak, Maria Ivete; Liziero, André Rafael; ";A impressora 3D e novas perspectivas para o ensino: possibilidades permeadas pelo uso de materiais concretos;Revista Observatório;3;4;445-466;2017;artigo;A2;;;;;;;
"Aguiar, Leonardo De Conti Dias; ";Um processo para utilizar a tecnologia de impressão 3D na construção de instrumentos didáticos para o ensino de ciências;;;;;2016;dissertação ;;;;;;;;Universidade Estadual Paulista (Unesp)
"Santos, Jarles Tarsso Gomes; de Andrade, Adja Ferreira; ";Impressão 3D como recurso para o desenvolvimento de material didático: associando a cultura Maker à resolução de problemas;RENOTE;;1;;2020;artigo;A4 ;;;;;;;
"SAMPAIO, CPD; MARTINS, RFF; ";A modelagem 3d virtual e a impressão 3d como ferramentas de apoio ao aprendizado na educação infantil: viabilidade e possibilidades de aplicação;Universidade Estadual de Londrina, Londrina;;;;2013;artigo;;;;;;;;
"Pavan, Gustavo Felipe; Todero, Eduardo Luiz; Delfim, Ana Julia Barros; Tomé, Guilherme Eduardo; Ten-caten, Robinson Joel; Franz, Samuel Henrique; Fuzinatto, Arthur; dos Santos Silva, Ênio; Guedes, Gustavo Cunha; dos Santos Albuquerque, Almir; ";Impressão 3d: ferramenta de prototipagem rápida para elaboração de metodologias e kits didáticos relacionados à educação/3d printing: quick prototyping tool for elaborating methodologies and teaching kits related to education;Brazilian Journal of Development;6;3;13013-13021;2020;artigo;C;;;;;;;
"Vieira, Edite Resende; COSTA, Nielce Meneguelo Lobo; ";Ensino de geometria com tecnologia digital: experiências possíveis em um processo formativo;ENEM-ENCONTRO NACIONAL DE EDUCAÇÃO MATEMÁTICA;12;;1-12;2016;artigo;;;;;;;;
"de Oliveira, Cíntia Rochele Alves; Ferreira, Cristiano Corrêa; de Lima Martins, Claudete da Silva; ";Modelo didático para o ensino de Ciências, construção por meio de impressão 3D: análise e avaliação no processo de ensino-aprendizagem;Revista Iberoamericana de Tecnología en Educación y Educación en Tecnología;;32;e5-e5;2022;artigo;A4 ;;;;;;;
"Chaves, Amanda Dalla’Cort; Dutra, João Miguel Menezes; da Rocha, Cláudio Felipe Kolling; ";Impressão 3D aplicada ao ensino de ciências básicas da saúde: onde estamos e onde queremos chegar;Educação & Linguagem;21;2;43-58;;;;;;;;;;
"Ledo, Roger Maia Dias; da Silva, Carlos Petrônio Leite; ";Limites e possibilidades da impressão 3d como ferramenta em abordagens steam no ensino de biologia: um estudo de caso;Revista Eixo;10;1;23-35;2021;artigo;A4 ;;;;;;;
